filename, language, Markdown, JSON, Ignore, C#, XML, JavaScript, HTML, TypeScript, CSS, Properties, Log, comment, blank, total
job-seeker-spa\src\app\reports\jobseekers-report-admin\jobseekers-report-admin.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
job-seeker-spa\src\app\reports\jobseekers-report-admin\jobseekers-report-admin.component.html, HTML, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 34, 146
job-seeker-spa\src\app\reports\jobseekers-report-admin\jobseekers-report-admin.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\reports\jobseekers-report-admin\jobseekers-report-admin.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 10, 28, 127
job-seeker-spa\src\app\sanitizeUrl.pipe.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 3, 12
job-seeker-spa\src\app\sanitizeUrl.pipe.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
job-seeker-spa\src\environments\environment.prod.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
job-seeker-spa\src\environments\environment.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 10, 4, 18
job-seeker-spa\src\index.html, HTML, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
job-seeker-spa\src\karma.conf.js, JavaScript, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 1, 31
job-seeker-spa\src\main.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
job-seeker-spa\src\polyfills.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 63, 16, 81
job-seeker-spa\src\styles.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3
job-seeker-spa\src\test.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 4, 21
job-seeker-spa\src\tsconfig.app.json, JSON, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 12
job-seeker-spa\src\tsconfig.spec.json, JSON, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
job-seeker-spa\src\tslint.json, JSON, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
job-seeker-spa\tsconfig.json, JSON, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
job-seeker-spa\tslint.json, JSON, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 131
job-seeker.api\Controllers\AdminController.cs, C#, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 5, 20, 90
job-seeker.api\Controllers\AuthController.cs, C#, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 9, 23, 117
job-seeker.api\Controllers\EmployeeController.cs, C#, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 21, 30, 108
job-seeker.api\Controllers\JobSeekerController.cs, C#, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 6, 17, 68
job-seeker.api\Controllers\PhotoController.cs, C#, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 7, 22, 105
job-seeker.api\DataTransferObjects\JobSeekerForSaveDto.cs, C#, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
job-seeker.api\DataTransferObjects\JobSeekerSaveReturnDto.cs, C#, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
job-seeker.api\DataTransferObjects\PhotoForSaveDto.cs, C#, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
job-seeker.api\DataTransferObjects\UserForLoginDto.cs, C#, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
job-seeker.api\DataTransferObjects\UserForRegisterDto.cs, C#, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
job-seeker.api\DataTransferObjects\UserForReturnLoginDto.cs, C#, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
job-seeker.api\Data\AdminRepository.cs, C#, 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 3, 44, 227
job-seeker.api\Data\AuthRepository.cs, C#, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 5, 16, 85
job-seeker.api\Data\CommonRepository.cs, C#, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
job-seeker.api\Data\DataContext.cs, C#, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
job-seeker.api\Data\EmployeeRepository.cs, C#, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 4, 24, 132
job-seeker.api\Data\IAdminRepository.cs, C#, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
job-seeker.api\Data\IAuthRepository.cs, C#, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
job-seeker.api\Data\ICommonRepository.cs, C#, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
job-seeker.api\Data\IEmployeeRepository.cs, C#, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 5, 21
job-seeker.api\Data\IJobSeekerRepository.cs, C#, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 3, 18
job-seeker.api\Data\JobseekerRepository.cs, C#, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 36, 32, 143
job-seeker.api\Helpers\AutoMapperProfiles.cs, C#, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
job-seeker.api\Helpers\CloudinarySettings.cs, C#, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
job-seeker.api\Helpers\Extensions.cs, C#, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 7, 23
job-seeker.api\Logging\nlog-all-2019-05-19.log, Log, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4326, 0, 1, 4327
job-seeker.api\Logging\nlog-all-2019-05-20.log, Log, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9007, 0, 1, 9008
job-seeker.api\Logging\nlog-all-2019-05-21.log, Log, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10770, 0, 1, 10771
job-seeker.api\Logging\nlog-own-2019-05-19.log, Log, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 328, 0, 1, 329
job-seeker.api\Logging\nlog-own-2019-05-20.log, Log, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5763, 0, 1, 5764
job-seeker.api\Logging\nlog-own-2019-05-21.log, Log, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6243, 0, 1, 6244
job-seeker.api\Migrations\20190413120430_clear.Designer.cs, C#, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 1, 38, 109
job-seeker.api\Migrations\20190413120430_clear.cs, C#, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 5, 76
job-seeker.api\Migrations\20190414080838_just.Designer.cs, C#, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 1, 38, 109
job-seeker.api\Migrations\20190414080838_just.cs, C#, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
job-seeker.api\Migrations\20190414112512_addingPhotoes.Designer.cs, C#, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 1, 42, 122
job-seeker.api\Migrations\20190414112512_addingPhotoes.cs, C#, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
job-seeker.api\Migrations\20190414154239_photos.Designer.cs, C#, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 1, 43, 124
job-seeker.api\Migrations\20190414154239_photos.cs, C#, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
job-seeker.api\Migrations\20190416062903_makingChangesInJObseekerMOdelInAPI.Designer.cs, C#, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 1, 43, 124
job-seeker.api\Migrations\20190416062903_makingChangesInJObseekerMOdelInAPI.cs, C#, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 19, 104
job-seeker.api\Migrations\20190514043937_AddingJobTable.Designer.cs, C#, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 1, 54, 151
job-seeker.api\Migrations\20190514043937_AddingJobTable.cs, C#, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
job-seeker.api\Migrations\20190514084319_changesInJObs.Designer.cs, C#, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 1, 55, 153
job-seeker.api\Migrations\20190514084319_changesInJObs.cs, C#, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
job-seeker.api\Migrations\20190514131601_Add Inactive option in job table.Designer.cs, C#, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 1, 56, 155
job-seeker.api\Migrations\20190514131601_Add Inactive option in job table.cs, C#, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
job-seeker.api\Migrations\20190514131745_Add Inactive option 2 in job table .Designer.cs, C#, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 1, 56, 155
job-seeker.api\Migrations\20190514131745_Add Inactive option 2 in job table .cs, C#, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
job-seeker.api\Migrations\20190514131850_Add Inactive option 3  in job table.Designer.cs, C#, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 1, 56, 155
job-seeker.api\Migrations\20190514131850_Add Inactive option 3  in job table.cs, C#, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
job-seeker.api\Migrations\20190514142138_Add Inactive option 4 in job table.Designer.cs, C#, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 1, 56, 155
job-seeker.api\Migrations\20190514142138_Add Inactive option 4 in job table.cs, C#, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
job-seeker.api\Migrations\20190516044717_addingEmployeeTable.Designer.cs, C#, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 1, 65, 178
job-seeker.api\Migrations\20190516044717_addingEmployeeTable.cs, C#, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
job-seeker.api\Migrations\20190516060828_changesInEMployee.Designer.cs, C#, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 1, 65, 178
job-seeker.api\Migrations\20190516060828_changesInEMployee.cs, C#, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
job-seeker.api\Migrations\20190516063404_addPasswordHashIn.Designer.cs, C#, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 1, 67, 182
job-seeker.api\Migrations\20190516063404_addPasswordHashIn.cs, C#, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
job-seeker.api\Migrations\20190516063818_changesInEmployee2.Designer.cs, C#, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 1, 65, 178
job-seeker.api\Migrations\20190516063818_changesInEmployee2.cs, C#, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
job-seeker.api\Migrations\20190517051338_addingDateInJObseeker.Designer.cs, C#, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 1, 66, 180
job-seeker.api\Migrations\20190517051338_addingDateInJObseeker.cs, C#, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
job-seeker.api\Migrations\20190518180048_addingDateCreatedInEmployee.Designer.cs, C#, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 1, 67, 182
job-seeker.api\Migrations\20190518180048_addingDateCreatedInEmployee.cs, C#, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
job-seeker.api\Migrations\20190519130748_changingTables.Designer.cs, C#, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 1, 77, 207
job-seeker.api\Migrations\20190519130748_changingTables.cs, C#, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 9, 64
job-seeker.api\Migrations\DataContextModelSnapshot.cs, C#, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 1, 77, 205
job-seeker.api\Models\Admin.cs, C#, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
job-seeker.api\Models\Curriculam_Vitae.cs, C#, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
job-seeker.api\Models\Employee.cs, C#, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
job-seeker.api\Models\EmployeeReport.cs, C#, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
job-seeker.api\Models\Job.cs, C#, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
job-seeker.api\Models\JobReport.cs, C#, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
job-seeker.api\Models\JobSeeker.cs, C#, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
job-seeker.api\Models\JobSeekerReport.cs, C#, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
job-seeker.api\Models\Photo.cs, C#, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
job-seeker.api\Models\User.cs, C#, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
job-seeker.api\Program.cs, C#, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 4, 4, 51
job-seeker.api\Properties\launchSettings.json, JSON, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
job-seeker.api\Startup.cs, C#, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 8, 23, 118
job-seeker.api\appsettings.Development.json, JSON, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
job-seeker.api\appsettings.json, JSON, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28
job-seeker.api\bin\Debug\netcoreapp2.2\job-seekerapp.deps.json, JSON, 0, 5400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5400
job-seeker.api\bin\Debug\netcoreapp2.2\job-seekerapp.runtimeconfig.dev.json, JSON, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
job-seeker.api\bin\Debug\netcoreapp2.2\job-seekerapp.runtimeconfig.json, JSON, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
job-seeker.api\job-seekerapp.csproj, XML, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 18
job-seeker.api\obj\Debug\netcoreapp2.2\TemporaryGeneratedFile_036C0B5B-1481-4323-8D20-8F5ADCB23D92.cs, C#, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
job-seeker.api\obj\Debug\netcoreapp2.2\TemporaryGeneratedFile_5937a670-0e60-4077-877b-f7221da3dda1.cs, C#, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
job-seeker.api\obj\Debug\netcoreapp2.2\TemporaryGeneratedFile_E7A71F73-0F8D-4B9B-B56E-8E70B10BC5D3.cs, C#, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
job-seeker.api\obj\Debug\netcoreapp2.2\job-seekerapp.AssemblyInfo.cs, C#, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 10, 5, 24
job-seeker.api\obj\Debug\netcoreapp2.2\job-seekerapp.RazorAssemblyInfo.cs, C#, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 10, 5, 21
job-seeker.api\obj\Debug\netcoreapp2.2\project.razor.json, JSON, 0, 2761, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2761
job-seeker.api\obj\job-seekerapp.csproj.EntityFrameworkCore.targets, XML, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
job-seeker.api\obj\job-seekerapp.csproj.nuget.g.props, XML, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 30
job-seeker.api\obj\job-seekerapp.csproj.nuget.g.targets, XML, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 18
job-seeker.api\obj\project.assets.json, JSON, 0, 17441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17441
job-seeker.test\Test.cs, C#, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 7, 35
job-seeker.test\bin\Debug\netcoreapp2.2\job-seeker.test.deps.json, JSON, 0, 4709, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4709
job-seeker.test\bin\Debug\netcoreapp2.2\job-seeker.test.runtimeconfig.dev.json, JSON, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
job-seeker.test\bin\Debug\netcoreapp2.2\job-seeker.test.runtimeconfig.json, JSON, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
job-seeker.test\job-seeker.test.csproj, XML, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
job-seeker.test\obj\Debug\netcoreapp2.2\job-seeker.test.AssemblyInfo.cs, C#, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 10, 5, 24
job-seeker.test\obj\Debug\netcoreapp2.2\job-seeker.test.Program.cs, C#, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
job-seeker.test\obj\job-seeker.test.csproj.nuget.g.props, XML, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 35
job-seeker.test\obj\job-seeker.test.csproj.nuget.g.targets, XML, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
job-seeker.test\obj\project.assets.json, JSON, 0, 15488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15488
Total, -, 15, 57909, 26, 3815, 163, 52, 1929, 2383, 148, 10, 36437, 595, 2912, 106394